dataset,time,step,loss,acc
train,2018-12-03T17:22:04.942702,220,1.2187018,0.5
train,2018-12-03T17:22:05.348808,221,1.3421727,0.3359375
train,2018-12-03T17:22:05.762355,222,1.310734,0.40625
train,2018-12-03T17:22:06.171595,223,1.2883046,0.4296875
train,2018-12-03T17:22:06.581565,224,1.3021976,0.4140625
train,2018-12-03T17:22:06.989491,225,1.2737666,0.4375
train,2018-12-03T17:22:07.402370,226,1.3339411,0.3984375
train,2018-12-03T17:22:07.813210,227,1.357472,0.3515625
train,2018-12-03T17:22:08.225949,228,1.2667052,0.40625
train,2018-12-03T17:22:08.641246,229,1.2871178,0.46875
train,2018-12-03T17:22:09.046310,230,1.3328247,0.3515625
train,2018-12-03T17:22:09.452877,231,1.2318099,0.4921875
train,2018-12-03T17:22:09.866516,232,1.334527,0.390625
train,2018-12-03T17:22:10.273911,233,1.2566029,0.453125
train,2018-12-03T17:22:10.682790,234,1.3514385,0.390625
train,2018-12-03T17:22:11.094390,235,1.3422947,0.3359375
train,2018-12-03T17:22:11.500424,236,1.3206244,0.3828125
train,2018-12-03T17:22:11.917568,237,1.2737162,0.4140625
train,2018-12-03T17:22:12.324825,238,1.3354279,0.3359375
train,2018-12-03T17:22:12.742250,239,1.2456498,0.4296875
train,2018-12-03T17:22:13.151392,240,1.2561805,0.4765625
train,2018-12-03T17:22:13.560821,241,1.323708,0.359375
train,2018-12-03T17:22:13.971601,242,1.2037958,0.5078125
train,2018-12-03T17:22:14.383633,243,1.2731749,0.4375
train,2018-12-03T17:22:14.787594,244,1.2986745,0.421875
train,2018-12-03T17:22:15.195752,245,1.2700946,0.4296875
train,2018-12-03T17:22:15.606889,246,1.263538,0.4140625
train,2018-12-03T17:22:16.009175,247,1.2783685,0.453125
train,2018-12-03T17:22:16.424548,248,1.2268852,0.4375
train,2018-12-03T17:22:16.836979,249,1.2425054,0.4375
train,2018-12-03T17:22:17.241050,250,1.3342646,0.3828125
train,2018-12-03T17:22:17.651207,251,1.2269799,0.453125
train,2018-12-03T17:22:18.063841,252,1.252796,0.46875
train,2018-12-03T17:22:18.475305,253,1.322414,0.4140625
train,2018-12-03T17:22:18.887859,254,1.2733024,0.421875
train,2018-12-03T17:22:19.300935,255,1.3171091,0.34375
train,2018-12-03T17:22:19.705075,256,1.3453217,0.390625
train,2018-12-03T17:22:20.118044,257,1.3471017,0.3984375
train,2018-12-03T17:22:20.524064,258,1.2668014,0.375
train,2018-12-03T17:22:20.927804,259,1.2671267,0.453125
train,2018-12-03T17:22:21.333208,260,1.2909923,0.3828125
train,2018-12-03T17:22:21.740870,261,1.2259272,0.5
train,2018-12-03T17:22:22.149307,262,1.3100948,0.3671875
train,2018-12-03T17:22:22.566691,263,1.2722249,0.4296875
train,2018-12-03T17:22:22.979051,264,1.3041627,0.4375
train,2018-12-03T17:22:23.383307,265,1.326839,0.3671875
train,2018-12-03T17:22:23.795800,266,1.3017912,0.390625
train,2018-12-03T17:22:24.208077,267,1.2976882,0.3828125
train,2018-12-03T17:22:24.620600,268,1.246947,0.4140625
train,2018-12-03T17:22:25.035536,269,1.2325759,0.4296875
train,2018-12-03T17:22:25.445941,270,1.2361615,0.53125
train,2018-12-03T17:22:25.854038,271,1.290077,0.421875
train,2018-12-03T17:22:26.261390,272,1.2598808,0.4296875
train,2018-12-03T17:22:26.674639,273,1.2605046,0.4453125
train,2018-12-03T17:22:27.081100,274,1.2816,0.3828125
train,2018-12-03T17:22:27.494884,275,1.3617088,0.3515625
train,2018-12-03T17:22:27.903336,276,1.3014008,0.390625
train,2018-12-03T17:22:28.309607,277,1.2423162,0.40625
train,2018-12-03T17:22:28.722280,278,1.3220159,0.4296875
